nu_Hz,N0,value
10.0,44366.873309786155,30.069137958029984
10.0,47937.15645558219,28.26377852671984
10.0,51794.74679231213,26.56681337930204
10.0,55962.76445319552,24.97173449273319
10.0,60466.19009070435,23.472424587488995
10.0,65332.014595937704,22.06313366721428
10.0,70589.40086618738,20.738456966939133
10.0,76269.85859023452,19.49331422529011
10.0,82407.43309893666,18.322930201203995
10.0,89038.90941296735,17.22281636042304
10.0,96204.0327106476,16.18875366153849
10.0,103945.74653722627,15.216776375564777
10.0,112310.45018329516,14.303156876990927
10.0,121348.27677491431,13.444391347981535
10.0,131113.3937421563,12.637186340901474
10.0,141664.3274669022,11.878446147630385
10.0,153064.31405563594,11.165260927227111
10.0,165381.6783395673,10.494895546412291
10.0,178690.24337358287,9.864779090071702
10.0,193069.77288832495,9.27249500155176
10.0,208606.44934719568,8.715771814934532
10.0,225393.39047347888,8.192474443749433
10.0,243531.20734334175,7.700595992713196
10.0,263128.6073895945,7.238250061095255
10.0,284303.0459302665,6.803663508191104
10.0,307181.43012686964,6.395169653158815
10.0,331900.87959146773,6.011201883139142
10.0,358609.54820118286,5.650287645145951
10.0,387467.51204561285,5.311042798685186
10.0,418647.72882899473,4.992166307444187
10.0,452337.0744772105,4.692435249693448
10.0,488737.4631624427,4.410700128265269
10.0,528067.0574582637,4.14588046212256
10.0,570561.5758781021,3.8969606426111207
10.0,616475.7056337161,3.6629860385036683
10.0,666084.6290809154,3.4430593348981215
10.0,719685.6730011514,3.236337091929437
10.0,777600.0906038043,3.0420265100973602
10.0,840174.9869294344,2.8593823898048094
10.0,907785.3991937558,2.687704273446384
10.0,980836.5445406671,2.5263337590867194
10.0,1.0597662486760707e6,2.374651975426327
10.0,1.1450475699382813e6,2.232077208371181
10.0,1.2371916345321594e6,2.0980626701037415
10.0,1.336750699919709e6,1.972094402099567
10.0,1.4443214647272818e6,1.8536893040474098
10.0,1.5605486450070748e6,1.7423932811134692
10.0,1.6861288382868804e6,1.6377795024444477
10.0,1.8218146985669748e6,1.53944676423055
10.0,1.9684194472866112e6,1.4470179510506467
10.0,2.126821747296208e6,1.3601385895986928
10.0,2.2979709690469606e6,1.278475489244826
10.0,2.48289288056033e6,1.2017154642175483
10.0,2.6826957952797273e6,1.1295641325064567
10.0,2.898577214651068e6,1.0617447868791705
10.0,3.131831005243845e6,0.9979973336827346
10.0,3.383855153428233e6,0.9380772953596758
10.0,3.6561601440851935e6,0.8817548728532725
10.0,3.9503780135666407e6,0.8288140643062745
10.0,4.268272131163825e6,0.7790518366731984
10.0,4.611747767708261e6,0.7322773470692542
10.0,4.982863514647306e6,0.6883112108696893
10.0,5.383843622033489e6,0.6469848137526661
10.0,5.817091329374358e6,0.6081396650472679
10.0,6.285203269240097e6,0.5716267899066728
10.0,6.790985029955707e6,0.537306157975422
10.0,7.337467970651373e6,0.5050461463596616
10.0,7.927927389450606e6,0.4747230348408033
10.0,8.565902153685499e6,0.4462205313966988
10.0,9.255215909791354e6,0.4194293262106476
10.0,1.0e7,0.39424667245784073
13.277310924369749,1000.0,316.44900546406774
13.277310924369749,1080.4718223181285,297.44931889704065
13.277310924369749,1167.4193588234587,279.5903788117912
13.277310924369749,1261.3637220374437,262.8036944713229
13.277310924369749,1362.867959355774,247.0248873415945
13.277310924369749,1472.5404276241222,232.1934441937082
13.277310924369749,1591.0384392721533,218.25248502991022
13.277310924369749,1719.0722018585745,205.14854494338047
13.277310924369749,1857.4090746385718,192.8313690752184
13.277310924369749,2006.8781676649664,181.25371988227158
13.277310924369749,2168.375310987435,170.3711959766562
13.277310924369749,2342.8684237322327,160.14206184220367
13.277310924369749,2531.403315241567,150.52708777477895
13.277310924369749,2735.109953041208,141.489399432627
13.277310924369749,2955.209235202888,132.9943364197584
13.277310924369749,3193.020307691027,125.00931936002844
13.277310924369749,3449.9684705497157,117.50372495212422
13.277310924369749,3727.593720314942,110.44876852628691
13.277310924369749,4027.5599798502976,103.81739365235995
13.277310924369749,4351.665070924416,97.5841683758012
13.277310924369749,4701.851489299852,91.72518768371381
13.277310924369749,5080.218046913023,86.21798182684404
13.277310924369749,5489.032450921557,81.04143014595185
13.277310924369749,5930.744895010559,76.17568007206974
13.277310924369749,6408.002744415996,71.60207099000928
13.277310924369749,6923.6664026787275,67.30306267312365
13.277310924369749,7480.826455225086,63.26216801486709
13.277310924369749,8082.822192522714,59.46388979917031
13.277310924369749,8733.261623828437,55.8936612671398
13.277310924369749,9436.04310147889,52.53779025214991
13.277310924369749,10195.378685327301,49.38340666907872
13.277310924369749,11015.819387358995,46.41841315630537
13.277310924369749,11902.282447787144,43.63143868117558
13.277310924369749,12860.08080610565,41.011794931007636
13.277310924369749,13894.954943731389,38.549435322395006
13.277310924369749,15013.107289081743,36.234916471601665
13.277310924369749,16221.239391291729,34.059361978285324
13.277310924369749,17526.592085367585,32.01442838365652
13.277310924369749,18936.988889503602,30.092273172519103
13.277310924369749,20460.88289466011,28.285524696477072
13.277310924369749,22107.407427431233,26.58725390296056
13.277310924369749,23886.430789846003,24.99094776164899
13.277310924369749,25808.615404180768,23.49048428637921
13.277310924369749,27885.481717262915,22.080109056745055
13.277310924369749,30129.47724726992,20.754413149346895
13.277310924369749,32554.05118685032,19.50831239405489
13.277310924369749,35173.7350096938,18.33702787573214
13.277310924369749,38004.22956365882,17.236067606639715
